requirement_id,verification_test_id,test_type,status,evidence
POC-SWR-001,VER-001,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_001_full_bidirectional_requirement_trace
POC-SWR-002,VER-002,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_002_reports_typed_missing_links
POC-SWR-003,VER-003,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_003_detects_three_configuration_mismatches
POC-SWR-004,VER-004,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_004_identifies_first_failed_verification
POC-SWR-005,VER-005,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_005_calculates_downstream_impact_without_mutation
POC-SWR-006,VER-006,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_006_grounds_advisory_rca_in_evidence
POC-SWR-007,VER-007,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_007_groups_change_impact_and_stale_artifacts
POC-SWR-008,VER-008,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_008_applies_deterministic_release_policy
POC-SWR-009,VER-009,automated,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_009_records_reasoning_governance_metadata
POC-SWR-010,VER-010,integration,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_010_uses_one_application_service_for_complete_report
POC-SWR-011,VER-011,regression,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_011_preserves_original_requirements_analysis
POC-SWR-012,VER-012,inspection,PASS,tests/verification/test_poc_requirements.py::test_poc_swr_012_ci_contains_required_quality_gates
POC-AI-001,VER-AI-001,automated,PASS,tests/verification/test_ai_enhancements.py::test_poc_ai_001_real_llm_boundary_is_grounded
POC-AI-002,VER-AI-002,automated,PASS,tests/verification/test_ai_enhancements.py::test_poc_ai_002_embedding_trace_links_are_proposals
POC-AI-003,VER-AI-003,automated,PASS,tests/verification/test_ai_enhancements.py::test_poc_ai_003_semantic_requirement_review_is_measurable
POC-AI-004,VER-AI-004,automated,PASS,tests/verification/test_ai_enhancements.py::test_poc_ai_004_log_analysis_separates_timeline_and_hypothesis
POC-AI-005,VER-AI-005,automated,PASS,tests/verification/test_ai_enhancements.py::test_poc_ai_005_similar_defects_retrieve_controlled_history
POC-AI-006,VER-AI-006,automated,PASS,tests/verification/test_ai_enhancements.py::test_poc_ai_006_generated_tests_remain_proposed_and_traced
